state,website,name,address,contact
Alabama,https://donofro.com/index.php,donofro Architects,"137 Saint Andrews St. Suite One Dothan, AL 36303",https://donofro.com/index.php/j-stuff
Alabama,https://watershed.pro/,WATERSHED,"302 Magnolia Ave Fairhope, AL 36532",https://watershed.pro/contact/
Alaska,https://mcgalaska.com/,McCool Carlson Green,"421 W 1st Avenue Suite 300 Anchorage, Alaska 99501",info@mcgalaska.com
Alaska,http://www.kpbarchitects.com/,KPG Architects,"500 L Street Suite 400 Anchorage, Alaska 99501",info@kpbarchitects.com
Arizona,https://www.baldinger-studio.com/,Baldinger Studio,"1524 east caroline lane tempe, arizona 85284",ilan@baldinger-studio.com
Arizona,http://theorganicarchitect.com/,Michael Rust Architecture,"1321 W McNair St. Chandler, AZ 85224",mrust@rust-architect.com
Arkansas,http://allisonarchitects.com,Allison Architects,"200 W. Capitol Avenue Suite 1400 Little Rock, AR 72201",Reception@allarch.com
Arkansas,http://www.polkstanleywilcox.com/,Polk Stanley Wilcox,"509 W. Spring Street Suite 150 Fayetteville, AR 72701",http://www.polkstanleywilcox.com/contact-us
California,https://ora.la/,Ora,"923 East 3rd Street #105 Los Angeles, CA 90013",info@ora.la
California,https://www.wrnsstudio.com/,WRNS STUDIO,"501 Second Street Suite 402 San Francisco, CA 94107",info@wrnsstudio.com
Colorado,https://gettliffe.com/,gettliffe,"3014 Bluff St #101 Boulder, Colorado 80301",info@gettliffe.com
Colorado,https://rodwinarch.com/,Rodwin Architecture,"1245 Pearl St. Suite 202 Boulder, CO 80302",info@rodwinarch.com
Connecticut,http://www.trilliumarchitects.com/,Trillium Architects,"409 Main Street Ridgefield, CT 06877",https://www.trilliumarchitects.com/contact
Connecticut,https://www.bpcgreenbuilders.com/,BPC Green Builders,"523 Danbury Road Wilton, CT 06897-2233",mike@bpcgb.com
Delaware,https://www.seagreenstudio.com,Sea Studio Architects,"35761 Atlantic Ave Millville, DE 19967",https://www.seagreenstudio.com/contact
Delaware,http://archologyde.com/,Archology,"107 South Washington St. Milford, DE 19963",Contact@ArchologyDE.com
Florida,http://kzarchitecture.com/,KZ Architecture,"3470 E Coast Ave Suite H201 Miami, FL 33137",info@kzarchitecture.com
Florida,https://bsswarchitects.com/,BSSW Architects,"1500 Jackson St #200 Fort Myers, FL 33901",https://bsswarchitects.com/contact/
Georgia,http://rt3architects.com/,RT3 Architects,"360 E Marietta St Canton, GA 30114",rht@rt3architects.com
Georgia,https://www.greenlinearch.com/,Greenline Architecture,"28 E 35th St Savannah, GA 31401",info@greenlinearch.com
Hawaii,https://ferrarochoi.com/,Ferraro Choi,"1240 Ala Moana Boulevard Suite 510 Honolulu, Hawaii 96814-4298",https://ferrarochoi.com/contact/
Hawaii,https://www.ahldesign.com/,AHL Design,"733 Bishop St #3100 Honolulu, HI 96813",info@ahl.design
Idaho,http://loveschackarchitecture.com/,Love Schack Architecture,"89 North Main Street Suite 102 Driggs, ID 83422",INFO@LOVESCHACK.COM
Idaho,https://erstadarchitects.com/,Erstad Architects,"310 N 5th St Boise, ID 83702",info@erstadarchitects.com
Illinois,https://www.kipnisarch.com/,Kipnis Architecture,"1642 Payne St Evanston, IL 60201",info@kipnisarch.com
Illinois,http://moss-design.com/,Moss Architecture,"2855 W Diversey Ave Chicago, IL 60647",matt@moss-design.com
Indiana,https://www.guidondesign.com/,Guidon Design,"1221 N Pennsylvania St Indianapolis, IN 46202",info@guidondesign.com
Indiana,http://axisarch.com,Axis Architecture,"618 E Market St Indianapolis, IN 46202",http://axisarch.com/our-work/?sector=housing
Iowa,https://www.bnim.com/,BNIM Architecture,"317 6th Avenue Suite 100 Des Moines, Iowa 50309",rkruse@bnim.com
Iowa,https://opnarchitects.com/,OPN Architects,"200 Fifth Ave. SE, Suite 201 Cedar Rapids, Iowa 52401",hello@opnarchitects.com
Kansas,https://www.glmv.com/,GLVM Architecture,"1525 E. Douglas Wichita, KS 67211",Jeff.Weiford@glmv.com
Kansas,http://wskfarch.com/,Williams Spurgeon Kuhl & Freshnock Architects,"707 Minnesota Ave. Suite 506 Kansas City, Kansas 66101",marketing@wskfarch.com
Kentucky,https://rosstarrant.com/,RossTarrant Architects,"101 Old Lafayette Avenue Lexington, KY 40502",mail@rosstarrant.com
Kentucky,https://sda-architecture.com/,Skinner Design Associates,"101 2nd St. Henderson, KY 42420",https://sda-architecture.com/contact-us/
Louisiana,https://www.trapolinpeer.com/,Trapolin Peer Architects,"850 Tchoupitoulas Street New Orleans, LA 70130",info@trapolinpeer.com
Louisiana,http://www.chenevertarchitects.com/,Chenevert Architects,"640 Main Street, Suite C Baton Rouge, Louisiana 70801",info@chenevertarchitects.com
Maine,http://www.johngordonarch.com/,John Gordon Architecture,"17 bayview avenue bucksport, maine 04416",jpg@johngordonarch.com
Maine,https://www.rrennerarchitects.com/,Richard Renner Architecture,"133 South Main Street Sherborn, MA 01770",info@rrennerarchitects.com
Maryland,https://www.encoresdesign.com/,Encore Sustainable Design,"31 Light Street Suite 500 Baltimore, MD 21202",hello@EncoreSDesign.com
Maryland,https://www.rmsarchitecture.com/,RM SOVICH ARCHITECTURE,"1 Village Square Suite 175 Baltimore, MD 21210-1624",rmsovich@rmsarchitecture.com
Massachusetts,https://zeroenergy.com/,ZEROENERGY DESIGN,"156 Milk St. Suite 3 Boston, MA 02109",info@ZeroEnergy.com
Massachusetts,http://reversearchitecture.com/,Reverse Architecture,"561 Windsor Street A304 Somerville, MA 02143",info@reversearchitecture.com
Michigan,https://www.meadowlarkbuilders.com/,Meadowlark Builders,"3250 W. Liberty Rd. Ann Arbor, MI 48103",https://www.meadowlarkbuilders.com/contact-us/
Michigan,https://env-arch.com/,Environment Architects,"215 Washington Street Suite 1A Traverse City, Michigan 49684",info@env-arch.com
Michigan,http://www.intarch.com/,Integrated Architecture,"4090 Lake Drive SE Grand Rapids, MI 49546",info@intarch.com
Minnesota,https://www.aia-mn.org/,AIA Minnesota,"105 5th Ave South Suite 485 Minneapolis, MN 55401",https://www.aia-mn.org/about/contact/
Minnesota,http://www.cnharch.com/,CNH Architects,"7300 147th St. W Suite 504 Apple Valley, MN 55124-7580",cnh@cnharch.com
Mississippi,https://www.sustainablearch.com/,Sustainable Architecture,"579 Hathorn Rd, Oxford, MS 38655",https://www.sustainablearch.com/contact-us/
Mississippi,http://www.dalepartners.com/,Dale Partners,"188 East Capitol Street Jackson, MS 39201-2100",info@dalepartners.com
Missouri,https://www.hellmuth-bicknese.com/,Hellmuth Bicknese,"7211 Manchester Ave. St. Louis, Mo 63143",info@hellmuth-bicknese.com
Missouri,https://soa-inc.com/,Simon Oswald Architecture,"2801 Woodard Drive Suite 103 Columbia, MO 65202",soa@soa-inc.com
Montana,http://highplainsarchitects.com/,High Plains Architects,"2720 Minnesota Avenue Billings, Montana 59103-2203",http://highplainsarchitects.com/profile/contact/
Montana,https://centresky.com/big-sky-montana/,CENTRE SKY Architecture,"11 Lone Peak Drive RJS Tower Unit #206 Big Sky, MT 59716",leah@centresky.com
Nebraska,https://berggrenarchitects.com/,Berggren Architects,"1201 ‘O’ Street Suite 302 Lincoln, NE 68508",https://berggrenarchitects.com/contact/
Nebraska,https://www.alleypoyner.com/,Alley Poyner Macchietto Architecture,"1516 Cuming Street Omaha, Nebraska 68102",INFO@ALLEYPOYNER.COM
Nevada,https://www.brazenarchitecture.com/,BRAZEN ARCHITECTURE,"1800 industrial road suite 200c las vegas, nv 89102",be-bold@brazenarchitecture.com
Nevada,https://www.magninarchitecture.com/,Magnin Architecture,"1155 West Fourth Street Suite 225 #7 Reno, Nevada 89503",gordon@magninarchitecture.com
New Hampshire,https://www.banwellarchitects.com/,Banwell Architects,"6 South Park Street Lebanon, NH 03766",info@banwellarchitects.com
